x y
100 48
200 86
300 114
400 164
500 208
600 260
700 300
800 342
900 388
1000 434
1100 468
1200 512
1300 550
1400 592
1500 642
1600 692
1700 734
1800 780
1900 822
2000 846
2100 888
2200 928
2300 954
2400 1000
2500 992
2600 986
2700 992
2800 968
2900 940
3000 894
3100 846
3200 796
3300 750
3400 716
3500 678
3600 640
3700 602
3800 544
3900 512
4000 490
4100 506
4200 550
4300 570
4400 612
4500 646
4600 670
4700 698
4800 744
4900 784
5000 822
5100 856
5200 892
5300 934
5400 992
5500 1034
5600 1076
5700 1102
5800 1096
5900 1074
6000 1018
6100 980
6200 938
6300 918
6400 874
6500 824
6600 798
6700 760
6800 716
6900 672
7000 630
7100 588
7200 562
7300 554
7400 560
7500 506
7600 474
7700 428
7800 394
7900 358
8000 326
8100 288
8200 286
8300 336
8400 376
8500 408
8600 434
8700 436
8800 432
8900 408
9000 378
9100 326
9200 298
9300 274
9400 242
9500 216
9600 214
9700 220
9800 212
9900 176
10000 130
10100 120
10200 144
10300 186
10400 234
10500 278
10600 330
10700 362
10800 396
10900 438
11000 478
11100 526
11200 572
11300 602
11400 652
11500 690
11600 736
11700 782
11800 816
11900 850
12000 872
12100 922
12200 968
12300 994
12400 1010
12500 1034
12600 1068
12700 1130
12800 1196
12900 1240
13000 1264
13100 1324
13200 1350
13300 1384
13400 1434
13500 1486
13600 1524
13700 1572
13800 1606
13900 1626
14000 1650
14100 1686
14200 1738
14300 1788
14400 1824
14500 1862
14600 1892
14700 1932
14800 1982
14900 2024
15000 2066
15100 2100
15200 2124
15300 2168
15400 2214
15500 2256
15600 2300
15700 2264
15800 2214
15900 2178
16000 2134
16100 2092
16200 2034
16300 1984
16400 1948
16500 1908
16600 1858
16700 1810
16800 1778
16900 1746
17000 1714
17100 1658
17200 1616
17300 1578
17400 1556
17500 1516
17600 1476
17700 1450
17800 1408
17900 1374
18000 1328
18100 1286
18200 1244
18300 1214
18400 1164
18500 1160
18600 1180
18700 1204
18800 1246
18900 1300
19000 1342
19100 1378
19200 1422
19300 1452
19400 1470
19500 1506
19600 1540
19700 1576
19800 1614
19900 1656
20000 1710
20100 1760
20200 1732
20300 1700
20400 1658
20500 1630
20600 1592
20700 1556
20800 1530
20900 1480
21000 1438
21100 1416
21200 1370
21300 1336
21400 1302
21500 1254
21600 1210
21700 1168
21800 1144
21900 1112
22000 1070
22100 1032
22200 994
22300 948
22400 906
22500 878
22600 884
22700 882
22800 868
22900 858
23000 850
23100 798
23200 764
23300 720
23400 688
23500 646
23600 606
23700 558
23800 498
23900 458
24000 442
24100 478
24200 520
24300 560
24400 604
24500 632
24600 644
24700 654
24800 688
24900 728
25000 762
25100 810
25200 836
25300 876
25400 906
25500 946
25600 960
25700 992
25800 1026
25900 1062
26000 1098
26100 1128
26200 1176
26300 1224
26400 1264
26500 1304
26600 1334
26700 1370
26800 1416
26900 1440
27000 1486
27100 1518
27200 1560
27300 1592
27400 1638
27500 1674
27600 1714
27700 1740
27800 1804
27900 1854
28000 1902
28100 1930
28200 1978
28300 2016
28400 2062
28500 2112
28600 2138
28700 2172
28800 2188
28900 2230
29000 2258
29100 2302
29200 2362
29300 2394
29400 2444
29500 2476
29600 2504
29700 2540
29800 2574
29900 2606
30000 2646
30100 2676
30200 2714
30300 2750
30400 2780
30500 2814
30600 2846
30700 2906
30800 2926
30900 2972
31000 3014
31100 3064
31200 3110
31300 3136
31400 3188
31500 3228
31600 3240
31700 3248
31800 3212
31900 3174
32000 3132
32100 3096
32200 3052
32300 2996
32400 2966
32500 2920
32600 2870
32700 2822
32800 2792
32900 2744
33000 2712
33100 2680
33200 2646
33300 2614
33400 2570
33500 2532
33600 2488
33700 2450
33800 2418
33900 2384
34000 2340
34100 2300
34200 2256
34300 2214
34400 2174
34500 2130
34600 2104
34700 2068
34800 2018
34900 1976
35000 1936
35100 1888
35200 1842
35300 1804
35400 1754
35500 1714
35600 1666
35700 1630
35800 1630
35900 1600
36000 1562
36100 1506
36200 1466
36300 1414
36400 1368
36500 1326
36600 1300
36700 1270
36800 1244
36900 1208
37000 1156
37100 1120
37200 1088
37300 1050
37400 1008
37500 966
37600 938
37700 892
37800 856
37900 816
38000 780
38100 736
38200 692
38300 650
38400 606
38500 558
38600 528
38700 490
38800 450
38900 404
39000 392
39100 360
39200 336
39300 290
39400 246
39500 204
39600 196
39700 238
39800 276
39900 298
40000 346
40100 398
40200 432
40300 436
40400 398
40500 368
40600 332
40700 290
40800 244
40900 220
41000 182
41100 144
41200 114
41300 78
41400 50
41500 10
41600 4
41700 56
41800 98
41900 138
42000 178
42100 218
42200 258
42300 316
42400 354
42500 418
42600 462
42700 506
42800 558
42900 596
43000 634
43100 654
43200 684
43300 728
43400 764
43500 808
43600 844
43700 892
43800 936
43900 976
44000 984
44100 956
44200 910
44300 874
44400 834
44500 782
44600 740
44700 704
44800 654
44900 612
45000 568
45100 518
45200 504
45300 530
45400 574
45500 606
45600 654
45700 688
45800 714
45900 746
46000 726
46100 762
46200 794
46300 828
46400 852
46500 888
46600 922
46700 952
46800 982
46900 1030
47000 1072
47100 1076
47200 1044
47300 998
47400 936
47500 910
47600 872
47700 836
47800 792
47900 756
48000 732
48100 694
48200 656
48300 618
48400 560
48500 548
48600 576
48700 620
48800 658
48900 696
49000 744
49100 774
49200 806
49300 806
49400 768
49500 730
49600 704
49700 672
49800 630
49900 590
50000 552
50100 514
50200 468
50300 426
50400 414
50500 420
50600 412
50700 430
50800 472
50900 510
51000 556
51100 580
51200 618
51300 622
51400 630
51500 656
51600 702
51700 738
51800 778
51900 810
52000 858
52100 898
52200 938
52300 934
52400 972
52500 1034
52600 1066
52700 1098
52800 1144
52900 1188
53000 1234
53100 1264
53200 1290
53300 1334
53400 1364
53500 1394
53600 1408
53700 1448
53800 1496
53900 1534
54000 1586
54100 1630
54200 1668
54300 1716
54400 1758
54500 1826
54600 1868
54700 1922
54800 1958
54900 1990
55000 2032
55100 2092
55200 2106
55300 2084
55400 2052
55500 2004
55600 1964
55700 1922
55800 1890
55900 1864
56000 1820
56100 1770
56200 1734
56300 1688
56400 1648
56500 1618
56600 1570
56700 1550
56800 1504
56900 1472
57000 1416
57100 1382
57200 1340
57300 1308
57400 1258
57500 1216
57600 1188
57700 1146
57800 1104
57900 1060
58000 1030
58100 1022
58200 1066
58300 1112
58400 1142
58500 1176
58600 1220
58700 1266
58800 1296
58900 1336
59000 1384
59100 1424
59200 1468
59300 1530
59400 1564
59500 1588
59600 1616
59700 1660
59800 1710
59900 1756
60000 1794
60100 1840
60200 1882
60300 1908
60400 1938
60500 1988
60600 2032
60700 2066
60800 2108
60900 2136
61000 2184
61100 2242
61200 2298
61300 2302
61400 2258
61500 2218
61600 2188
61700 2158
61800 2110
61900 2058
62000 2014
62100 1978
62200 1952
62300 1910
62400 1868
62500 1832
62600 1806
62700 1774
62800 1740
62900 1708
63000 1660
63100 1618
63200 1586
63300 1538
63400 1488
63500 1442
63600 1398
63700 1358
63800 1312
63900 1274
64000 1234
64100 1206
64200 1160
64300 1122
64400 1078
64500 1052
64600 1014
64700 966
64800 924
64900 882
65000 856
65100 810
65200 750
65300 692
65400 646
65500 610
65600 560
65700 512
65800 480
65900 434
66000 406
66100 362
66200 316
66300 288
66400 274
66500 272
66600 220
66700 178
66800 162
66900 144
67000 104
67100 64
67200 66
67300 84
67400 122
67500 152
67600 178
67700 228
67800 260
67900 260
68000 256
68100 296
68200 346
68300 376
68400 326
68500 284
68600 246
68700 218
68800 186
68900 188
69000 156
69100 118
69200 88
69300 60
69400 48
69500 64
