    number    binomial       left       skew        set      queue
       777:       3.50       1.00       1.00       2.50       1.00
      1554:       3.67       1.00       0.67       1.67       1.00
      3108:       6.50       2.00       2.00       4.25       1.00
      6216:       7.19       2.19       2.44       4.88       1.00
     12432:       7.03       2.16       2.16       5.06       1.00
     24864:       6.42       1.80       1.87       4.46       1.00
     49728:       6.49       1.96       1.96       4.59       1.00
     99456:       6.77       2.17       2.19       4.99       1.00
    198912:       5.99       1.97       1.97       4.89       1.00
    397824:       5.71       1.89       1.87       4.58       1.00
    795648:       5.04       1.74       1.77       4.65       1.00
